omp,1,256,1761,0.191435
omp,1,256,1761,0.192125
omp,1,256,1761,0.190983
omp,2,256,1761,0.0999102
omp,2,256,1761,0.0998219
omp,2,256,1761,0.0992504
omp,4,256,1761,0.0533755
omp,4,256,1761,0.052912
omp,4,256,1761,0.0534601
omp,8,256,1761,0.0350153
omp,8,256,1761,0.0346909
omp,8,256,1761,0.0351537
omp,1,512,3527,1.61007
omp,1,512,3527,1.61559
omp,1,512,3527,1.61387
omp,2,512,3527,0.816828
omp,2,512,3527,0.817624
omp,2,512,3527,0.81602
omp,4,512,3527,0.41414
omp,4,512,3527,0.414687
omp,4,512,3527,0.417236
omp,8,512,3527,0.231516
omp,8,512,3527,0.229842
omp,8,512,3527,0.228998
omp,1,1024,7077,13.2286
omp,1,1024,7077,13.2129
omp,1,1024,7077,13.2277
omp,2,1024,7077,6.65227
omp,2,1024,7077,6.6198
omp,2,1024,7077,6.65745
omp,4,1024,7077,3.36942
omp,4,1024,7077,3.36461
omp,4,1024,7077,3.36945
omp,8,1024,7077,1.75902
omp,8,1024,7077,1.7615
omp,8,1024,7077,1.75687
omp,1,2048,10001,76.2307
omp,1,2048,10001,76.5003
omp,1,2048,10001,76.0774
omp,2,2048,10001,37.8329
omp,2,2048,10001,37.9872
omp,2,2048,10001,37.9784
omp,4,2048,10001,19.1158
omp,4,2048,10001,19.2357
omp,4,2048,10001,19.3666
omp,8,2048,10001,9.92169
omp,8,2048,10001,9.90495
omp,8,2048,10001,9.94028
omp,1,4096,10001,307.293
omp,1,4096,10001,304.796
omp,1,4096,10001,304.991
omp,2,4096,10001,154.101
omp,2,4096,10001,154.561
omp,2,4096,10001,154.142
omp,4,4096,10001,77.812
omp,4,4096,10001,78.323
omp,4,4096,10001,78.0725
omp,8,4096,10001,40.8695
omp,8,4096,10001,41.0762
omp,8,4096,10001,41.1457
